Interface Name,Source Name,LDM Text Type,Internal ID,LDM Object Type,Element Name,LDM Field,Entity Name_x,LDM Text,Entity Name_y,Attribute Name,Type,Description
BP Details,BTFG$UI_BP.BP.XSD,ldm_obj_fld,acc$acc_bal,acc,acc_bal,Pension Annual Minimum Amount,-,LDM:btfg$code_ldm_obj_fld.acc$acc_bal,Account,Pension Annual Minimum Amount,pls_integer or number,(ABS Field Type Avaloq DDIC Number)
BP Details,BTFG$UI_BP.BP.XSD,ldm_obj_fld,acc$acc_status,acc,bp_status_id,BP Status ID,-,LDM:btfg$code_ldm_obj_fld.acc$acc_status,Account,BP Status ID,varchar2(2000),BP status / (ABS Field Type Avaloq Class)
UI BP List,BTFG$UI_BP_LIST.ALL#CUSTR.XSD,ldm_obj_fld,acc$acc_status,acc,bp_acc_status_id,BP Status ID,-,LDM:btfg$code_ldm_obj_fld.acc$acc_status,Account,BP Status ID,varchar2(2000),BP status / (ABS Field Type Avaloq Class)
UI Clients,BTFG$UI_CUSTR_LIST.BP_PERSON_CONT.XSD,ldm_obj_fld,acc$acc_status,acc,bp_acc_status_id,BP Status ID,-,LDM:btfg$code_ldm_obj_fld.acc$acc_status,Account,BP Status ID,varchar2(2000),BP status / (ABS Field Type Avaloq Class)
Get Account Activation Status,BTFG$UI_DOC_CUSTR_LIST.DOC.XSD,ldm_obj_fld,acc$acc_status,acc,bp_status_id,BP Status ID,-,LDM:btfg$code_ldm_obj_fld.acc$acc_status,Account,BP Status ID,varchar2(2000),BP status / (ABS Field Type Avaloq Class)
Client On-boarding Details,BTFG$UI_DOC_CUSTR_LIST.DOC#DOC_DET.XSD,ldm_obj_fld,acc$acc_status,acc,bp_status_id,BP Status ID,-,LDM:btfg$code_ldm_obj_fld.acc$acc_status,Account,BP Status ID,varchar2(2000),BP status / (ABS Field Type Avaloq Class)
BP Details,BTFG$UI_BP.BP.XSD,ldm_obj_fld,acc$acc_struct_type,acc,custr_acc_struct_type_id,Account Structure Type ID,-,LDM:btfg$code_ldm_obj_fld.acc$acc_struct_type,Account,Account Structure Type ID,varchar2(2000),(ABS Field Type Avaloq Class)
UI BP List,BTFG$UI_BP_LIST.ALL#CUSTR.XSD,ldm_obj_fld,acc$acc_struct_type,acc,acc_struct_type_id,Account Structure Type ID,-,LDM:btfg$code_ldm_obj_fld.acc$acc_struct_type,Account,Account Structure Type ID,varchar2(2000),(ABS Field Type Avaloq Class)
UI Clients,BTFG$UI_CUSTR_LIST.BP_PERSON_CONT.XSD,ldm_obj_fld,acc$acc_struct_type,acc,bp_acc_struct_type_id,Account Structure Type ID,-,LDM:btfg$code_ldm_obj_fld.acc$acc_struct_type,Account,Account Structure Type ID,varchar2(2000),(ABS Field Type Avaloq Class)
Get Account Activation Status,BTFG$UI_DOC_CUSTR_LIST.DOC.XSD,ldm_obj_fld,acc$acc_struct_type,acc,acc_own_struct_id,Account Structure Type ID,-,LDM:btfg$code_ldm_obj_fld.acc$acc_struct_type,Account,Account Structure Type ID,varchar2(2000),(ABS Field Type Avaloq Class)
Client On-boarding Details,BTFG$UI_DOC_CUSTR_LIST.DOC#DOC_DET.XSD,ldm_obj_fld,acc$acc_struct_type,acc,custr_acc_struct_type_id,Account Structure Type ID,-,LDM:btfg$code_ldm_obj_fld.acc$acc_struct_type,Account,Account Structure Type ID,varchar2(2000),(ABS Field Type Avaloq Class)
UI Notification List,BTFG$UI_NTFCN_LIST.NTFCN.XSD,ldm_obj_fld,acc$acc_struct_type,acc,owner_type_id,Account Structure Type ID,-,LDM:btfg$code_ldm_obj_fld.acc$acc_struct_type,Account,Account Structure Type ID,varchar2(2000),(ABS Field Type Avaloq Class)
Model Cash Report,BTFG$UI_POS_LIST.POS#FIDD.XSD,ldm_obj_fld,acc$acc_struct_type,acc,acc_type_id,Account Structure Type ID,-,LDM:btfg$code_ldm_obj_fld.acc$acc_struct_type,Account,Account Structure Type ID,varchar2(2000),(ABS Field Type Avaloq Class)
BP Details,BTFG$UI_BP.BP.XSD,ldm_obj_fld,acc$acctnt_person,acc,acctnt_person_id,Accountant Person ID,-,LDM:btfg$code_ldm_obj_fld.acc$acctnt_person,Account,Accountant Person ID,Logical Data Model Object,(ABS Field Type LDM Object)
BP Details,BTFG$UI_BP.BP.XSD,ldm_obj_fld,acc$avsr_person,acc,avsr_person_id,Adviser Natural Person ID,-,LDM:btfg$code_ldm_obj_fld.acc$avsr_person,Account,Adviser Natural Person ID,Logical Data Model Object,(ABS Field Type LDM Object)
UI BP List,BTFG$UI_BP_LIST.ALL#CUSTR.XSD,ldm_obj_fld,acc$avsr_person,acc,avsr_person_id,Adviser Natural Person ID,-,LDM:btfg$code_ldm_obj_fld.acc$avsr_person,Account,Adviser Natural Person ID,Logical Data Model Object,(ABS Field Type LDM Object)
UI Clients,BTFG$UI_CUSTR_LIST.BP_PERSON_CONT.XSD,ldm_obj_fld,acc$avsr_person,acc,bp_adviser_id,Adviser Natural Person ID,-,LDM:btfg$code_ldm_obj_fld.acc$avsr_person,Account,Adviser Natural Person ID,Logical Data Model Object,(ABS Field Type LDM Object)
BP Details,BTFG$UI_BP.BP.XSD,ldm_obj_fld,acc$avsr_person_oe,acc,avsr_person_oe_id,Adviser Person OE ID,-,LDM:btfg$code_ldm_obj_fld.acc$avsr_person_oe,Account,Adviser Person OE ID,Logical Data Model Object,(ABS Field Type LDM Object)
UI BP List,BTFG$UI_BP_LIST.ALL#CUSTR.XSD,ldm_obj_fld,acc$avsr_person_oe,acc,avsr_person_oe_id,Adviser Person OE ID,-,LDM:btfg$code_ldm_obj_fld.acc$avsr_person_oe,Account,Adviser Person OE ID,Logical Data Model Object,(ABS Field Type LDM Object)
Client On-boarding Details,BTFG$UI_DOC_CUSTR_LIST.DOC#DOC_DET.XSD,ldm_obj_fld,acc$avsr_person_oe,acc,avsr_oe_id,Adviser Person OE ID,-,LDM:btfg$code_ldm_obj_fld.acc$avsr_person_oe,Account,Adviser Person OE ID,Logical Data Model Object,(ABS Field Type LDM Object)
