System Name,Instance Name,Entity Name,Attribute Name,Owner,Parent,Type,Description
ABS,LDM,Object,Object ID,,,Logical Data Model Object,(ABS Field Type LDM Object)
ABS,LDM,Object,Alpha-numeric sort value,,,varchar2(4000),Alpha-numeric sort value / (ABS Field Type Avaloq DDIC Text)
ABS,LDM,Object,Close Date,,,date,Closing date / (ABS Field Type Avaloq DDIC Date)
ABS,LDM,Object,Open Date,,,date,Opening date / (ABS Field Type Avaloq DDIC Date)
ABS,LDM,Person,Account,,,Logical Data Model Object,Returns the target object of the relation. The target object is always a person. / (ABS Field Type LDM Object)
ABS,LDM,Person,Person ID,,,Logical Data Model Object,(ABS Field Type LDM Object)
ABS,LDM,Person,Involved Party Type,,,varchar2(2000),(ABS Field Type Avaloq Class)
ABS,LDM,Person,Involved Party Type Name,,,varchar2(4000),(ABS Field Type Avaloq DDIC Text)
ABS,LDM,Person,Person Key,,,varchar2(4000),(ABS Field Type Avaloq DDIC Text)
ABS,LDM,Person,Person External ID,,,Logical Data Model Object,(ABS Field Type LDM Object)
ABS,LDM,Person,Person modification sequence number,,,pls_integer or number,(ABS Field Type Avaloq DDIC Number)
ABS,LDM,Person,Full Name,,,varchar2(4000),(ABS Field Type Avaloq DDIC Text)
ABS,LDM,Person,Full Name Auto,,,varchar2(1) or boolean,Full Name Auto Flag / (ABS Field Type Avaloq DDIC Boolean)
ABS,LDM,Person,GCM ID,,,varchar2(4000),(ABS Field Type Avaloq DDIC Text)
ABS,LDM,Person,GCM ID Auto,,,varchar2(1) or boolean,GCM Identifier / (ABS Field Type Avaloq DDIC Boolean)
ABS,LDM,Person,Person Type ID,,,,(ABS Field Type Avaloq Code Table)
ABS,LDM,Person,Person Type Name,,,,(ABS Field Type Avaloq Code Table)
ABS,LDM,Person,Has person an adviser job,,,varchar2(1) or boolean,(ABS Field Type Avaloq DDIC Boolean)
ABS,LDM,Person,Has person an adviser assistant job,,,varchar2(1) or boolean,(ABS Field Type Avaloq DDIC Boolean)
ABS,LDM,Person,Has person a para planner job,,,varchar2(1) or boolean,(ABS Field Type Avaloq DDIC Boolean)
ABS,LDM,Person,Person has TFN,,,varchar2(1) or boolean,(ABS Field Type Avaloq DDIC Boolean)
ABS,LDM,Person,Withholding Tax Exemption ID,,,,(ABS Field Type Avaloq Code Table)
ABS,LDM,Person,Withholding Tax Exemption Name,,,varchar2(4000),(ABS Field Type Avaloq DDIC Text)
ABS,LDM,Person,SAFI Device,,,varchar2(4000),(ABS Field Type Avaloq DDIC Text)
ABS,LDM,Person,Is Member,,,varchar2(1) or boolean,(ABS Field Type Avaloq DDIC Boolean)
ABS,LDM,Person,Is Sharehold,,,varchar2(1) or boolean,(ABS Field Type Avaloq DDIC Boolean)
ABS,LDM,Person,Is Beneficiary,,,varchar2(1) or boolean,(ABS Field Type Avaloq DDIC Boolean)
ABS,LDM,Person,IDV Status ID,,,varchar2(2000),(ABS Field Type Avaloq Class)
ABS,LDM,Person,IDV Status Name,,,varchar2(4000),(ABS Field Type Avaloq DDIC Text)
ABS,LDM,Person,AML Status ID,,,varchar2(2000),(ABS Field Type Avaloq Class)
ABS,LDM,Person,AML Status Name,,,varchar2(4000),(ABS Field Type Avaloq DDIC Text)
ABS,LDM,Person,CIS Identifier,,,varchar2(4000),CIS Identifier / (ABS Field Type Avaloq DDIC Text)
ABS,LDM,Person,Tax File Number,,,varchar2(4000),(ABS Field Type Avaloq DDIC Text)
ABS,LDM,Person,Country Tax ID,,,Logical Data Model Object,(ABS Field Type LDM Object)
ABS,LDM,Person,Country Tax Name,,,varchar2(4000),Name / (ABS Field Type Avaloq DDIC Text)
ABS,LDM,Person,Document List,,,,(ABS Field Type Avaloq Structured Addition)
ABS,LDM,Person,Document Detail,,,,(ABS Field Type Avaloq Structured Addition)
ABS,LDM,Person,Document ID,,,Logical Data Model Object,(ABS Field Type LDM Object)
ABS,LDM,Person,Document IP Address,,,varchar2(4000),(ABS Field Type Avaloq DDIC Text)
ABS,LDM,Person,Document Signature Valid Until,,,date,(ABS Field Type Avaloq DDIC Date)
ABS,LDM,Person,Document Issuer,,,varchar2(4000),(ABS Field Type Avaloq DDIC Text)
ABS,LDM,Person,Document Full Name,,,varchar2(4000),(ABS Field Type Avaloq DDIC Text)
ABS,LDM,Person,Document Identification Number,,,varchar2(4000),(ABS Field Type Avaloq DDIC Text)
ABS,LDM,Person,Document Comment,,,varchar2(4000),(ABS Field Type Avaloq DDIC Text)
ABS,LDM,Person,Document Type ID,,,,(ABS Field Type Avaloq Code Table)
ABS,LDM,Person,Document Type Name,,,varchar2(4000),(ABS Field Type Avaloq DDIC Text)
ABS,LDM,Person,Document Accredited English Translation ID,,,,(ABS Field Type Avaloq Code Table)
ABS,LDM,Person,Document Accredited English Translation Name,,,varchar2(4000),(ABS Field Type Avaloq DDIC Text)
ABS,LDM,Person,Document Public Document Type,,,varchar2(4000),(ABS Field Type Avaloq DDIC Text)
ABS,LDM,Person,Document State ID,,,,(ABS Field Type Avaloq Code Table)
ABS,LDM,Person,Document State Name,,,varchar2(4000),(ABS Field Type Avaloq DDIC Text)
ABS,LDM,Person,Document Country ID,,,Logical Data Model Object,(ABS Field Type LDM Object)
ABS,LDM,Person,Document Country Name,,,Logical Data Model Object,(ABS Field Type LDM Object)
ABS,LDM,Person,Document User,,,varchar2(4000),(ABS Field Type Avaloq DDIC Text)
ABS,LDM,Person,Document Signature Date,,,date,(ABS Field Type Avaloq DDIC Date)
ABS,LDM,Person,Address ID,,,Logical Data Model Object,Address type / (ABS Field Type LDM Object)
ABS,LDM,Person,Australian Tax Person Relevant ID,,,,(ABS Field Type Avaloq Code Table)
ABS,LDM,Person,Australian Tax Person Relevant Name,,,varchar2(4000),(ABS Field Type Avaloq DDIC Text)
ABS,LDM,Person,Tax Address 1 ID,,,Logical Data Model Object,(ABS Field Type LDM Object)
ABS,LDM,Person,Tax Address 1 Name,,,varchar2(4000),Last name / (ABS Field Type Avaloq DDIC Text)
ABS,LDM,Person,Tax Address 2 ID,,,Logical Data Model Object,(ABS Field Type LDM Object)
ABS,LDM,Person,Tax Address 2 Name,,,varchar2(4000),Last name / (ABS Field Type Avaloq DDIC Text)
ABS,LDM,Person,Is Beneficial Owner,,,varchar2(1) or boolean,(ABS Field Type Avaloq DDIC Boolean)
