LDM Object,Field,Field Type,Field Type Refer To,Field Type Details,Overwrites,Default Value,Avaloq Path,Field Description,Internal ID,Internal ID LDM Object,Internal ID LDM Field,User ID,Refers to,Cardinality,Mandatory,Group ID
Object,Object ID,LDM Object,btfg$code_ldm_obj,Logical Data Model Object,,,obj.id,,obj$obj_id,obj,obj_id,OBJ_ID,obj,1,+,
Object,Alpha-numeric sort value,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj.sort_alpha,Alpha-numeric sort value,obj$sort_alpha,obj,sort_alpha,SORT_ALPHA,,1,-,
Object,Close Date,Avaloq DDIC Date,date,Compiles to a date,,,obj.close_date,Closing date,obj$close_date,obj,close_date,CLOSE_DATE,,1,+,
Object,Open Date,Avaloq DDIC Date,date,Compiles to a date,,,obj.open_date,Opening date,obj$open_date,obj,open_date,OPEN_DATE,,1,+,
Person,Account,LDM Object,btfg$code_ldm_obj,Logical Data Model Object,,,obj_person.bp_person_rel_list.trg_obj_id,Returns the target object of the relation. The target object is always a person.,person$acc,person,acc,ACC,acc,n,-,
Person,Person ID,LDM Object,btfg$code_ldm_obj,Logical Data Model Object,,,obj_person.id,,person$person,person,person,PERSON_ID,person,1,+,
Person,Involved Party Type,Avaloq Class,code_obj_class,Compiles to a varchar2(2000),,,obj_person.extn.btfg$ip_type_id,,person$ip_type,person,ip_type,IP_TYPE,,1,+,
Person,Involved Party Type Name,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_person.extn.btfg$ip_type.name,,person$ip_type_name,person,ip_type_name,IP_TYPE_NAME,,1,+,
Person,Person Key,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,btfg$obj_person.person#person_sym,,person$person_key,person,person_key,PERSON_KEY,,1,-,
Person,Person External ID,LDM Object,btfg$code_ldm_obj,Logical Data Model Object,,,,,person$person_extl,person,person_extl,PERSON_EXTL_ID,person,1,-,
Person,Person modification sequence number,Avaloq DDIC Number,numeric,Compiles to a pls_integer or number,,,btfg$obj_person.person#modi_seq_nr,,person$person_modi_seq_nr,person,person_modi_seq_nr,PERSON_MODI_SEQ_NR,,1,+,
Person,Full Name,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,btfg$obj_person.person#dflt_full_name,,person$full_name,person,full_name,FULL_NAME,,1,+,
Person,Full Name Auto,Avaloq DDIC Boolean,bool,Compiles to a varchar2(1) or boolean,,+,obj_person.person_name.full_name_a,Full Name Auto Flag,person$full_name_a,person,full_name_a,FULL_NAME_A,,1,+,
Person,GCM ID,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,btfg$obj_person.person#gcm_id,,person$gcm,person,gcm,GCM_ID,,1,-,
Person,GCM ID Auto,Avaloq DDIC Boolean,bool,Compiles to a varchar2(1) or boolean,,+,obj_person.extn.btfg$person_gcm_id_a,GCM Identifier,person$gcm_id_a,person,gcm_id_a,GCM_ID_A,,1,+,
Person,Person Type ID,Avaloq Code Table,to be written,,,,btfg$obj_person.person#person_type_id,,person$person_type,person,person_type,PERSON_TYPE_ID,code_obj_sub_type,1,+,
Person,Person Type Name,Avaloq Code Table,to be written,,,,btfg$obj_person.person#person_type,,person$person_type_name,person,person_type_name,PERSON_TYPE_NAME,code_obj_sub_type,1,-,
