,System Name,Instance Name,Entity Name,Attribute Name,Owner,Parent,Type,Description,URL,Document Name,XPATH
0,UX Sitemap,Default,ADVISER DASHBOARD ,,,,Screen,,,,
1,Visual Map,Default,ADVISER DASHBOARD ,,,,Visual Map,,,,
2,Visual Map,Default,ADVISER DASHBOARD ,TOTAL FUA,,,UI Field,This represents the total funds under administration the adviser oversees.,,,
3,Visual Map,Default,ADVISER DASHBOARD ,ACCOUNTS,,,UI Field,This represents the total number of accounts the adviser oversees,,,
4,Visual Map,Default,ADVISER DASHBOARD ,KEY ACTIVITY CATEGORY,,,UI Field,,,,
5,Visual Map,Default,ADVISER DASHBOARD ,ACCOUNT NAME,,,UI Field,,,,
6,Visual Map,Default,ADVISER DASHBOARD ,DESCRIPTION,,,UI Field,,,,
7,Visual Map,Default,ADVISER DASHBOARD ,ACTIVITY DATE,,,UI Field,Header for each activity date ,,,
8,Visual Map,Default,ADVISER DASHBOARD ,ACTIVITY DATETIME,,,UI Field,,,,
9,Visual Map,Default,ADVISER DASHBOARD ,HIGH PRIORITY ICON,,,UI Field,,,,
10,Visual Map,Default,ADVISER DASHBOARD ,SAVED ORDERS RESULT COUNT,,,UI Field,Global display convention. Show n of m rows.,,,
11,Visual Map,Default,ADVISER DASHBOARD ,SAVED ORDER ACCOUNT NAME,,,UI Field,For Account NameUse bp_id to retrieve the Account Name from the Client List cache.Client List IFS,,,
12,Visual Map,Default,ADVISER DASHBOARD ,SAVED ORDER TIMESTAMP,,,UI Field,DateTimeFld,,Transition Dashboard.docx,
13,Visual Map,Default,ADVISER DASHBOARD ,SAVED ORDERS DESCRIPTION,,,UI Field,A free text field description entered by the user,,Visual Map - Adviser Dashboard - Monitor.docx,
14,Visual Map,Default,ADVISER DASHBOARD ,DRAFT APPLICATIONS,,,UI Field,,,Visual Map - Adviser Search.docx,
15,Visual Map,Default,ADVISER DASHBOARD ,DATE,,,UI Field,,,Visual Map   Corporate Actions   View.docx,
16,Visual Map,Default,ADVISER DASHBOARD ,TOTAL COUNT OF TERM DEPOSITS MATURING IN THE PERIOD,,,UI Field,The UI can evaluate the days_to_maturity field for each record returned by the service,,Visual Map - Contribution categorisation report.docx,
