Source System Name,Source Instance Name,Source Entity Name,Source Attribute Name,Target System Name,Target Instance Name,Target Entity Name,Target Attribute Name,Attribute Description,Business Rule,Transformation_Mapping rule,Comments,Mapping Name,Action,Last_Update_Date,Modified_By
UX Sitemap,Default,ACCOUNT - OVERVIEW,AMOUNT,Visual Map,Default,ACCOUNT - OVERVIEW_MDR_VM,AMOUNT,,Direct,Amount,,,,,
UX Sitemap,Default,ACCOUNT - OVERVIEW,DATE,Visual Map,Default,ACCOUNT - OVERVIEW_MDR_VM,DATE,,Direct,Trade date,,,,,
UX Sitemap,Default,ACCOUNT - OVERVIEW,DESCRIPTION,Visual Map,Default,ACCOUNT - OVERVIEW_MDR_VM,DESCRIPTION,,Direct,Description of transaction,,,,,
UX Sitemap,Default,ACCOUNT - OVERVIEW,LAST UPDATED,Visual Map,Default,ACCOUNT - OVERVIEW_MDR_VM,LAST UPDATED,,Direct,Last updated at,,,,,
Visual Map,Default,ACCOUNT - OVERVIEW_MDR_VM,AMOUNT,IFS,Default,TRANSACTION HISTORY,QTY,,Direct,Amount,,,,,
Visual Map,Default,ACCOUNT - OVERVIEW_MDR_VM,DATE,IFS,Default,TRANSACTION HISTORY,TRX_DATE,,Direct,Trade date,,,,,
Visual Map,Default,ACCOUNT - OVERVIEW_MDR_VM,DESCRIPTION,IFS,Default,TRANSACTION HISTORY,EXTL_BOOK_TEXT,,Direct,Description of transaction,,,,,
Visual Map,Default,ACCOUNT - OVERVIEW_MDR_VM,LAST UPDATED,IFS,Default,TRANSACTION HISTORY,CURRENT_OF_TIME,,Derived,Last updated at,,,,,
UX Sitemap,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS,BILLER CODE,Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS_MDR_VM,BILLER CODE,,Direct,Biller code of BPay,,,,,
UX Sitemap,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS,BILLER NICK NAME,Visual Map,Default,ACCOUNT - PAYMENTS AND DEPOSITS - ACCOUNTS AND BILLERS_MDR_VM,BILLER NICK NAME,,Direct,Nick name of BPay,,,,,
