,LDM Object,Field,Field Type,Field Type Refer To,Field Type Details,Overwrites,Default Value,Avaloq Path,Field Description,Internal ID,User ID,Refers to,Cardinality,Mandatory,Group ID
2,Object,Object ID,LDM Object,btfg$code_ldm_obj,Logical Data Model Object,,,obj.id,,obj$obj_id,OBJ_ID,obj,1,+,
3,Object,Alpha-numeric sort value,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj.sort_alpha,Alpha-numeric sort value,obj$sort_alpha,SORT_ALPHA,,1,-,
4,Object,Close Date,Avaloq DDIC Date,date,Compiles to a date,,,obj.close_date,Closing date,obj$close_date,CLOSE_DATE,,1,+,
5,Object,Open Date,Avaloq DDIC Date,date,Compiles to a date,,,obj.open_date,Opening date,obj$open_date,OPEN_DATE,,1,+,
9,Person,Account,LDM Object,btfg$code_ldm_obj,Logical Data Model Object,,,obj_person.bp_person_rel_list.trg_obj_id,Returns the target object of the relation. The target object is always a person.,person$acc,ACC,acc,n,-,
10,Person,Person ID,LDM Object,btfg$code_ldm_obj,Logical Data Model Object,,,obj_person.id,,person$person,PERSON_ID,person,1,+,
11,Person,Involved Party Type,Avaloq Class,code_obj_class,Compiles to a varchar2(2000),,,obj_person.extn.btfg$ip_type_id,,person$ip_type,IP_TYPE,,1,+,
12,Person,Involved Party Type Name,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_person.extn.btfg$ip_type.name,,person$ip_type_name,IP_TYPE_NAME,,1,+,
13,Person,Person Key,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,btfg$obj_person.person#person_sym,,person$person_key,PERSON_KEY,,1,-,
14,Person,Person External ID,LDM Object,btfg$code_ldm_obj,Logical Data Model Object,,,,,person$person_extl,PERSON_EXTL_ID,person,1,-,
15,Person,Person modification sequence number,Avaloq DDIC Number,numeric,Compiles to a pls_integer or number,,,btfg$obj_person.person#modi_seq_nr,,person$person_modi_seq_nr,PERSON_MODI_SEQ_NR,,1,+,
16,Person,Full Name,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,btfg$obj_person.person#dflt_full_name,,person$full_name,FULL_NAME,,1,+,
17,Person,Full Name Auto,Avaloq DDIC Boolean,bool,Compiles to a varchar2(1) or boolean,,+,obj_person.person_name.full_name_a,Full Name Auto Flag,person$full_name_a,FULL_NAME_A,,1,+,
18,Person,GCM ID,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,btfg$obj_person.person#gcm_id,,person$gcm,GCM_ID,,1,-,
19,Person,GCM ID Auto,Avaloq DDIC Boolean,bool,Compiles to a varchar2(1) or boolean,,+,obj_person.extn.btfg$person_gcm_id_a,GCM Identifier,person$gcm_id_a,GCM_ID_A,,1,+,
20,Person,Person Type ID,Avaloq Code Table,to be written,,,,btfg$obj_person.person#person_type_id,,person$person_type,PERSON_TYPE_ID,code_obj_sub_type,1,+,
21,Person,Person Type Name,Avaloq Code Table,to be written,,,,btfg$obj_person.person#person_type,,person$person_type_name,PERSON_TYPE_NAME,code_obj_sub_type,1,-,
22,Person,Has person an adviser job,Avaloq DDIC Boolean,bool,Compiles to a varchar2(1) or boolean,,,btfg$obj_person.person#has_avsr_job,,person$has_avsr_profile,HAS_AVSR_PROFILE,,1,-,
23,Person,Has person an adviser assistant job,Avaloq DDIC Boolean,bool,Compiles to a varchar2(1) or boolean,,,btfg$obj_person.person#has_avsra_job,,person$has_avsra_profile,HAS_AVSRA_PROFILE,,1,-,
24,Person,Has person a para planner job,Avaloq DDIC Boolean,bool,Compiles to a varchar2(1) or boolean,,,btfg$obj_person.person#has_prplnr_job,,person$has_prplnr_profile,HAS_PRPLNR_PROFILE,,1,-,
25,Person,Person has TFN,Avaloq DDIC Boolean,bool,Compiles to a varchar2(1) or boolean,,,btfg$obj_person.person#has_tfn,,person$has_tfn,HAS_TFN,,1,-,
26,Person,Withholding Tax Exemption ID,Avaloq Code Table,to be written,,,,btfg$obj_person.person#wtax_exempt,,person$wtax_exempt,WTAX_EXEMPT_ID,code_au_tax_person_wtax_exmp,1,-,
27,Person,Withholding Tax Exemption Name,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_person.au_tax_person.hist.wtax_exempt.name,,person$wtax_exempt_name,WTAX_EXEMPT_NAME,,1,-,
28,Person,SAFI Device,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,btfg$obj_person.person#safi_device,,person$safi_device,SAFI_DEVICE,,1,-,
29,Person,Is Member,Avaloq DDIC Boolean,bool,Compiles to a varchar2(1) or boolean,,,btfg$obj_person.person#is_mbr,,person$is_mbr,IS_MBR,,1,-,
30,Person,Is Sharehold,Avaloq DDIC Boolean,bool,Compiles to a varchar2(1) or boolean,,,btfg$obj_person.person#is_sharehld,,person$is_sharehld,IS_SHAREHLD,,1,-,
31,Person,Is Beneficiary,Avaloq DDIC Boolean,bool,Compiles to a varchar2(1) or boolean,,,btfg$obj_person.person#is_benef,,person$is_benef,IS_BENEF,,1,-,
32,Person,IDV Status ID,Avaloq Class,code_obj_class,Compiles to a varchar2(2000),,,btfg$obj_person.person#idv_status_id,,person$idv_status,IDV_STATUS_ID,,1,-,
33,Person,IDV Status Name,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_person.extn.btfg$idv_status.name,,person$idv_status_name,IDV_STATUS_NAME,,1,-,
34,Person,AML Status ID,Avaloq Class,code_obj_class,Compiles to a varchar2(2000),,,btfg$obj_person.person#aml_status_id,,person$aml_status,AML_STATUS_ID,,1,-,
35,Person,AML Status Name,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_person.extn.btfg$aml_status.name,,person$aml_status_name,AML_STATUS_NAME,,1,-,
36,Person,CIS Identifier,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_person.extn.btfg$person_cis_id,CIS Identifier,person$cis,CIS,,1,-,
37,Person,Tax File Number,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,btfg$obj_person.person#tfn,,person$tfn,TFN,,1,-,
38,Person,Country Tax ID,LDM Object,btfg$code_ldm_obj,Logical Data Model Object,,,btfg$obj_person.person#tax_country,,person$country_tax,COUNTRY_TAX_ID,country,1,+,
39,Person,Country Tax Name,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_person.au_tax_person.hist.tax_country.name,Name,person$country_tax_name,COUNTRY_TAX_NAME,,1,-,
40,Person,Document List,Avaloq Structured Addition,to_be_found_out,,,,obj_person.extn.btfg$docm_det,,person$docm_list,DOCM_LIST,,1,+,
41,Person,Document Detail,Avaloq Structured Addition,to_be_found_out,,,,obj_bp.extn.btfg$docm_det.bp_docm_list,,person$docm_det,DOCM_DET,,n,+,401
42,Person,Document ID,LDM Object,btfg$code_ldm_obj,Logical Data Model Object,,,obj_bp.extn.btfg$docm_det.bp_docm_list.docm_id,,person$docm,DOCM_ID,docm,1,+,401
43,Person,Document IP Address,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_bp.extn.btfg$docm_det.bp_docm_list.ip_addr,,person$docm_ip_addr,DOCM_IP_ADDR,,1,-,401
44,Person,Document Signature Valid Until,Avaloq DDIC Date,date,Compiles to a date,,,obj_bp.extn.btfg$docm_det.bp_docm_list.expir_date,,person$docm_expir_date,DOCM_EXPIR_DATE,,1,-,401
45,Person,Document Issuer,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_bp.extn.btfg$docm_det.bp_docm_list.issuer,,person$docm_issuer,DOCM_ISSUER,,1,-,401
46,Person,Document Full Name,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_bp.extn.btfg$docm_det.bp_docm_list.full_name,,person$docm_full_name,DOCM_FULL_NAME,,1,-,401
47,Person,Document Identification Number,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_bp.extn.btfg$docm_det.bp_docm_list.id_nr,,person$docm_id_nr,DOCM_ID_NR,,1,-,401
48,Person,Document Comment,Avaloq DDIC Text,text,Compiles to a varchar2(4000),,,obj_bp.extn.btfg$docm_det.bp_docm_list.comment,,person$docm_text1,DOCM_TEXT1,,1,-,401
49,Person,Document Type ID,Avaloq Code Table,to be written,,,,obj_bp.extn.btfg$docm_det.bp_docm_list.docm_type_id,,person$docm_type,DOCM_TYPE_ID,btfg$code_docm_type,1,-,401
