C:\Python27\python.exe C:/apps/apps/se/HelloGmail.py
Page Details:
Current URL:  https://accounts.google.com/SignUp
Page Title Create your Google Account
Web Elements - Input :
1 | Tag_Name: input | Type: hidden | Attribute_Name: timeStmp | Attribute_ID: timeStmp | Attribute_Value: 1476949051681 
2 | Tag_Name: input | Type: hidden | Attribute_Name: secTok | Attribute_ID: secTok | Attribute_Value: .AG5fkS_Izew2YZgGjqP5r1f047W0LqvtPg== 
3 | Tag_Name: input | Type: hidden | Attribute_Name: dsh | Attribute_ID: dsh | Attribute_Value: -6280698210489884036 
4 | Tag_Name: input | Type: hidden | Attribute_Name: ktl | Attribute_ID: ktl | Attribute_Value:  
5 | Tag_Name: input | Type: hidden | Attribute_Name: ktf | Attribute_ID: ktf | Attribute_Value:  
6 | Tag_Name: input | Type: hidden | Attribute_Name: _utf8 | Attribute_ID: _utf8 | Attribute_Value: ? 
7 | Tag_Name: input | Type: hidden | Attribute_Name: bgresponse | Attribute_ID: bgresponse | Attribute_Value: js_disabled 
8 | Tag_Name: input | Type: text | Attribute_Name: FirstName | Attribute_ID: FirstName | Attribute_Value:  
9 | Tag_Name: input | Type: text | Attribute_Name: LastName | Attribute_ID: LastName | Attribute_Value:  
10 | Tag_Name: input | Type: text | Attribute_Name: GmailAddress | Attribute_ID: GmailAddress | Attribute_Value:  
11 | Tag_Name: input | Type: password | Attribute_Name: Passwd | Attribute_ID: Passwd | Attribute_Value:  
12 | Tag_Name: input | Type: password | Attribute_Name: PasswdAgain | Attribute_ID: PasswdAgain | Attribute_Value:  
13 | Tag_Name: input | Type: hidden | Attribute_Name: BirthMonth | Attribute_ID: HiddenBirthMonth | Attribute_Value:  
14 | Tag_Name: input | Type: text | Attribute_Name: BirthDay | Attribute_ID: BirthDay | Attribute_Value:  
15 | Tag_Name: input | Type: text | Attribute_Name: BirthYear | Attribute_ID: BirthYear | Attribute_Value:  
16 | Tag_Name: input | Type: hidden | Attribute_Name: Gender | Attribute_ID: HiddenGender | Attribute_Value:  
17 | Tag_Name: input | Type: hidden | Attribute_Name: RecoveryPhoneCountry | Attribute_ID: RecoveryPhoneCountry | Attribute_Value: AU 
18 | Tag_Name: input | Type: text | Attribute_Name: RecoveryEmailAddress | Attribute_ID: RecoveryEmailAddress | Attribute_Value:  
19 | Tag_Name: input | Type: hidden | Attribute_Name: CountryCode | Attribute_ID: HiddenCountryCode | Attribute_Value: AU 
20 | Tag_Name: input | Type: checkbox | Attribute_Name: TermsOfService | Attribute_ID: TermsOfService | Attribute_Value: yes 
